name,freq,gender
ELNORA,0.014,female
CHANDRA,0.014,female
LENORE,0.014,female
NEVA,0.013,female
MARYLOU,0.013,female
MELISA,0.013,female
TABATHA,0.013,female
SERENA,0.013,female
AVIS,0.013,female
ALLIE,0.013,female
SOFIA,0.013,female
JEANIE,0.013,female
ODESSA,0.013,female
NANNIE,0.013,female
HARRIETT,0.013,female
LORAINE,0.013,female
PENELOPE,0.013,female
MILAGROS,0.013,female
EMILIA,0.013,female
BENITA,0.013,female
ALLYSON,0.013,female
ASHLEE,0.013,female
TANIA,0.013,female
TOMMIE,0.013,female
ESMERALDA,0.013,female
KARINA,0.013,female
EVE,0.013,female
PEARLIE,0.013,female
ZELMA,0.013,female
MALINDA,0.013,female
NOREEN,0.013,female
TAMEKA,0.013,female
SAUNDRA,0.013,female
HILLARY,0.013,female
AMIE,0.013,female
ALTHEA,0.012,female
ROSALINDA,0.012,female
JORDAN,0.012,female
LILIA,0.012,female
ALANA,0.012,female
GAY,0.012,female
CLARE,0.012,female
ALEJANDRA,0.012,female
ELINOR,0.012,female
MICHAEL,0.012,female
LORRIE,0.012,female
JERRI,0.012,female
DARCY,0.012,female
EARNESTINE,0.012,female
CARMELLA,0.012,female
TAYLOR,0.012,female
NOEMI,0.012,female
MARCIE,0.012,female
LIZA,0.012,female
ANNABELLE,0.012,female
LOUISA,0.012,female
EARLENE,0.012,female
MALLORY,0.012,female
CARLENE,0.012,female
NITA,0.012,female
SELENA,0.012,female
TANISHA,0.012,female
KATY,0.012,female
JULIANNE,0.012,female
JOHN,0.012,female
LAKISHA,0.011,female
EDWINA,0.011,female
MARICELA,0.011,female
MARGERY,0.011,female
KENYA,0.011,female
DOLLIE,0.011,female
ROXIE,0.011,female
ROSLYN,0.011,female
KATHRINE,0.011,female
NANETTE,0.011,female
CHARMAINE,0.011,female
LAVONNE,0.011,female
ILENE,0.011,female
KRIS,0.011,female
TAMMI,0.011,female
SUZETTE,0.011,female
CORINE,0.011,female
KAYE,0.011,female
JERRY,0.011,female
MERLE,0.011,female
CHRYSTAL,0.011,female
LINA,0.011,female
DEANNE,0.011,female
LILIAN,0.011,female
JULIANA,0.011,female
ALINE,0.011,female
LUANN,0.011,female
KASEY,0.011,female
MARYANNE,0.011,female
EVANGELINE,0.011,female
COLETTE,0.011,female
MELVA,0.011,female
LAWANDA,0.011,female
YESENIA,0.011,female
NADIA,0.011,female
MADGE,0.011,female
KATHIE,0.011,female
EDDIE,0.011,female
OPHELIA,0.011,female
VALERIA,0.011,female
NONA,0.011,female
MITZI,0.011,female
MARI,0.011,female
GEORGETTE,0.011,female
CLAUDINE,0.011,female
FRAN,0.011,female
ALISSA,0.011,female
ROSEANN,0.010,female
LAKEISHA,0.010,female
SUSANNA,0.010,female
REVA,0.010,female
DEIDRE,0.010,female
CHASITY,0.010,female
SHEREE,0.010,female
CARLY,0.010,female
JAMES,0.010,female
ELVIA,0.010,female
ALYCE,0.010,female
DEIRDRE,0.010,female
GENA,0.010,female
BRIANA,0.010,female
ARACELI,0.010,female
KATELYN,0.010,female
ROSANNE,0.010,female
WENDI,0.010,female
TESSA,0.010,female
BERTA,0.010,female
MARVA,0.010,female
